0001;maracay 1;constitucion derecha
0002;maracay 2;constitucion izquierda
0003;extra maracay;santa cruz,palonegro,sfrancisco,tocoron,
0004;turmero;turmero
0005;cagua;cagua
0006;san mateo;san mateo
0007;san juan;san juan
0008;la victoria;la victoria,tejerias
0009;la villa;villa de cura,san fco.
1001;valencia;valencia
0010;vlp;valle de la pascua,altagracia
2001;charallave;
2002;cua;
2003;ocumare;
2004;santa teresa;
2005;santa lucia;
2006;yare;
2000;altos;los teques,san antonio,carrizal..
2001;;
